


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
国立障害者リハビリテーションセンター研究所  障害福祉研究部 主任研究官の公募  社会科学 - 経済学 -- 情報学 - 全て -- 複合領域 - 生活科学  常勤 (任期なし)  2021年02月12日
神村学園専修学校  こども学科　専任講師の公募（保育・福祉分野）  社会科学 - 教育学 -- 複合領域 - 子ども学  常勤 (任期なし)  2021年02月18日
金沢学院大学  助手の公募（管理栄養士養成課程）  複合領域 - 生活科学  常勤 (任期なし)  2021年01月29日
国立研究開発法人日本原子力研究開発機構  定年制技術系職員の募集（放射線管理分野）  工学 - 全て -- 総合理工 - 全て -- 複合領域 - 社会・安全システム科学  常勤 (任期なし)  2021年01月22日
姫路獨協大学  人間社会学群国際言語文化学類英語担当教員公募  社会科学 - 教育学 -- 社会科学 - 応用言語学  常勤 (任期なし)  2021年02月08日
横浜国立大学  横浜国立大学大学院工学研究院教員の公募（素粒子理論分野）教授（知的構造の創生部門）  数物系科学 - 物理学  常勤 (任期なし)  2021年03月31日
長野県立大学  助手（食健康学科）の募集  その他 - 全て  常勤 (任期なし)  2021年01月25日
株式会社ジエンブル  バイオインフォマティクス解析技術者（マネージャー候補）  生物学 - 全て -- 医歯薬学 - 全て -- 情報学 - 全て  常勤 (任期なし)  2021年03月31日
株式会社ジエンブル  バイオインフォマティクス解析技術者（サイエンティスト）  生物学 - 全て -- 医歯薬学 - 全て -- 情報学 - 全て  常勤 (任期なし)  2021年03月31日
愛知医科大学  助教の公募（愛知医科大学 医学部 薬理学講座）  医歯薬学 - 全て -- 生物学 - 全て -- 総合生物 - 全て  常勤 (任期なし)  2021年02月28日
自動車メーカー  [非公開]研究職（車両性能・運転支援技術／ヒューマンファクター）  情報学 - 情報学基礎 -- 社会科学 - 心理学 -- 総合生物 - 神経科学  常勤 (任期なし)  2021年07月31日
工学メーカー  [非公開]　正社員　＜21年4月入社＞【未経験OK】ソフトウエアの開発設計エンジニア　（工学系、電気・電子出身者）  工学 - 全て  常勤 (任期なし)  2021年06月30日
化学メーカー  [非公開]　正社員　＜21年4月入社＞化学メーカー　エポキシ樹脂製品の開発  化学 - 全て -- 工学 - 全て  常勤 (任期なし)  2021年06月30日
化学メーカー  [非公開]　正社員　＜21年4月入社＞化学メーカー　3Dプリンター/光造形用UV硬化樹脂の開発  化学 - 全て -- 工学 - 全て  常勤 (任期なし)  2021年06月30日
自動車部品メーカー  [非公開]　正社員　＜21年4月入社＞電気自動車などのセラミック部品の開発　3次元測定器CAD/CAM（企業経験なくともご応募いただけます）  工学 - 全て  常勤 (任期なし)  2021年06月30日
化学メーカー  [非公開]　正社員　＜21年4月入社＞＜第二新卒歓迎＞　総合環境調査会社　　環境分析・環境測定  化学 - 全て -- 工学 - 全て -- 医歯薬学 - 全て  常勤 (任期なし)  2021年06月30日
